action_type,mechanism_of_action,molecule_chembl_id,target_chembl_id
AGONIST,Erythropoietin receptor agonist,CHEMBL2107866,CHEMBL1817
INHIBITOR,Coagulation factor IX inhibitor,CHEMBL2107870,CHEMBL2016
CHELATING AGENT,Potassium chelating agent,CHEMBL2107875,CHEMBL3545434
AGONIST,Vascular endothelial growth factor receptor 1 and 2 (Flt-1 and KDR) agonist,CHEMBL2108557,CHEMBL2111480
INHIBITOR,Telomerase reverse transcriptase inhibitor,CHEMBL2108702,CHEMBL2916
HYDROLYTIC ENZYME,Triglyceride hydrolytic enzyme,CHEMBL2108703,CHEMBL3559389
MODULATOR,"HLA class II histocompatibility antigen, DRB1-15 beta chain modulator",CHEMBL2108712,CHEMBL3831291
INHIBITOR,Antithrombin-III inhibitor,CHEMBL2108718,CHEMBL1950
AGONIST,Interferon lambda receptor agonist,CHEMBL2108723,CHEMBL3831284
DISRUPTING AGENT,Melanoma cell disrupting agent,CHEMBL2108727,CHEMBL614126
POSITIVE MODULATOR,Dystrophin pre-mRNA positive modulator,CHEMBL2108735,CHEMBL3826826
ACTIVATOR,Plasminogen activator,CHEMBL2109084,CHEMBL1801
POSITIVE MODULATOR,Dystrophin pre-mRNA positive modulator,CHEMBL2108278,CHEMBL3826826
AGONIST,Insulin receptor agonist,CHEMBL2108569,CHEMBL1981
AGONIST,Granulocyte colony stimulating factor receptor agonist,CHEMBL2108572,CHEMBL1996
BINDING AGENT,Interleukin 13 receptor binding agent,CHEMBL2108583,CHEMBL3831285
STABILISER,Tubulin stabiliser,CHEMBL2108628,CHEMBL2095182
AGONIST,Toll-like receptor 5 agonist,CHEMBL2108683,CHEMBL2176839
ANTAGONIST,Type-1 angiotensin II receptor antagonist,CHEMBL1516,CHEMBL227
INHIBITOR,Protein farnesyltransferase inhibitor,CHEMBL289228,CHEMBL2094108
ANTAGONIST,Serotonin 3 (5-HT3) receptor antagonist,CHEMBL2103778,CHEMBL2111332
INHIBITOR,P-glycoprotein 1 inhibitor,CHEMBL348475,CHEMBL4302
NEGATIVE ALLOSTERIC MODULATOR,Glutamate [NMDA] receptor negative allosteric modulator,CHEMBL395091,CHEMBL2094124
AGONIST,Toll-like receptor 9 agonist,CHEMBL2103793,CHEMBL5804
INHIBITOR,Cholesteryl ester transfer protein inhibitor,CHEMBL1800807,CHEMBL3572
ANTAGONIST,Type-1 angiotensin II receptor antagonist,CHEMBL57242,CHEMBL227
INHIBITOR,DNA topoisomerase II inhibitor,CHEMBL2103796,CHEMBL2094255
INHIBITOR,Coagulation factor X inhibitor,CHEMBL512351,CHEMBL244
SEQUESTERING AGENT,Phosphate sequestering agent,CHEMBL2103800,CHEMBL2364184
INHIBITOR,Cholesteryl ester transfer protein inhibitor,CHEMBL313006,CHEMBL3572
INHIBITOR,Glutathione S-transferase Pi inhibitor,CHEMBL2103810,CHEMBL3902
INHIBITOR,Tubulin inhibitor,CHEMBL49642,CHEMBL2095182
PARTIAL AGONIST,Neuronal acetylcholine receptor; alpha3/beta4 partial agonist,CHEMBL2103815,CHEMBL1907594
INHIBITOR,Cathepsin K inhibitor,CHEMBL481611,CHEMBL268
INHIBITOR,Cytochrome P450 26A1 inhibitor,CHEMBL459505,CHEMBL5141
INHIBITOR,Thrombin inhibitor,CHEMBL48361,CHEMBL204
STABILISER,Tubulin stabiliser,CHEMBL2103826,CHEMBL2095182
INHIBITOR,Dipeptidyl peptidase IV inhibitor,CHEMBL515387,CHEMBL284
INHIBITOR,Cyclooxygenase inhibitor,CHEMBL2103831,CHEMBL2094253
CROSS-LINKING AGENT,DNA cross-linking agent,CHEMBL889,CHEMBL2311221
PARTIAL AGONIST,Dopamine receptors; D2 & D3 partial agonist,CHEMBL2103832,CHEMBL2095169
INHIBITOR,Phospholipase A2 group IIA inhibitor,CHEMBL148674,CHEMBL3474
STABILISER,Transthyretin stabiliser,CHEMBL2103837,CHEMBL3194
INHIBITOR,Serine/threonine-protein kinase mTOR inhibitor,CHEMBL2103839,CHEMBL2842
CROSS-LINKING AGENT,DNA cross-linking agent,CHEMBL2103844,CHEMBL2311221
MODULATOR,Progesterone receptor modulator,CHEMBL2103846,CHEMBL208
INHIBITOR,Aminopeptidase inhibitor,CHEMBL2103847,CHEMBL3831223
INHIBITOR,Phosphodiesterase 5A inhibitor,CHEMBL2103849,CHEMBL1827
INHIBITOR,Tubulin inhibitor,CHEMBL2103852,CHEMBL2095182
