drug_id,first_approval
CHEMBL2397415,2023
CHEMBL3301587,2017
CHEMBL3989826,1950
CHEMBL4071161,2020
CHEMBL4297730,2024
CHEMBL25202,2005
CHEMBL1224,1994
CHEMBL1200501,1989
CHEMBL1200862,1979
CHEMBL1201179,2007
CHEMBL1201573,1997
CHEMBL1743081,2021
CHEMBL2105581,1979
CHEMBL2105629,2009
CHEMBL2109065,2001
CHEMBL3989922,2017
CHEMBL3989958,2018
CHEMBL4101807,2019
CHEMBL4297536,2018
CHEMBL3,1984
CHEMBL456,1967
CHEMBL681,1982
CHEMBL806,1989
CHEMBL160,1983
CHEMBL902,1986
CHEMBL1051,1996
CHEMBL1118,2008
CHEMBL1571,1969
CHEMBL1577,1960
CHEMBL1200402,1992
CHEMBL1200895,1961
CHEMBL1201037,1990
CHEMBL1201568,2002
CHEMBL1201668,2001
CHEMBL1201616,2002
CHEMBL1201828,2007
CHEMBL2107857,2014
CHEMBL2109624,2018
CHEMBL3237547,2020
CHEMBL3358920,2023
CHEMBL4303525,2023
CHEMBL4802254,2024
CHEMBL5314382,2014
CHEMBL5315048,2023
CHEMBL570,1957
CHEMBL289469,1993
CHEMBL934,1961
CHEMBL940,1993
CHEMBL1201,1967
CHEMBL207538,2019
CHEMBL1611,1956
CHEMBL1173055,2016
CHEMBL1200500,1976
CHEMBL1201066,1993
CHEMBL1201692,1995
CHEMBL1743041,2018
CHEMBL2105395,2013
CHEMBL2106483,2021
CHEMBL2107355,2016
CHEMBL2107866,2012
CHEMBL2146102,2021
CHEMBL3137326,2017
CHEMBL3707326,2018
CHEMBL3989833,2002
CHEMBL4297839,2022
CHEMBL4594335,2023
CHEMBL5095275,2023
CHEMBL5315118,2003
CHEMBL698,2005
CHEMBL231779,2011
CHEMBL1668,1956
CHEMBL1096885,1998
CHEMBL1095097,2002
CHEMBL1200485,2005
CHEMBL1200491,2003
CHEMBL1201746,2009
CHEMBL1315867,1974
CHEMBL1615779,2018
CHEMBL1779710,2015
CHEMBL2103870,2015
CHEMBL2106643,2004
CHEMBL2108041,2017
CHEMBL2108791,2000
CHEMBL2219416,2014
CHEMBL3188993,1997
CHEMBL3655081,2021
CHEMBL3707314,2007
CHEMBL4297509,2023
CHEMBL4594292,2021
CHEMBL4594535,2024
CHEMBL4650241,2023
CHEMBL5095052,2020
CHEMBL6068395,2024
CHEMBL16,1953
CHEMBL450,1982
CHEMBL717,1959
CHEMBL1456,1995
CHEMBL414357,2005
CHEMBL237500,2011
CHEMBL238804,2015
CHEMBL193,1981
CHEMBL1648,1990
CHEMBL525610,2002
CHEMBL1670,1970
CHEMBL1697,1982
CHEMBL1703,1995
CHEMBL1200762,1965
CHEMBL1200980,1977
CHEMBL1201488,2004
CHEMBL1201585,1998
CHEMBL1201557,1997
CHEMBL1256818,1984
CHEMBL2105741,2013
CHEMBL3301607,2020
CHEMBL3306803,2019
CHEMBL3707393,2020
CHEMBL3989724,1970
CHEMBL4297545,2017
CHEMBL4594248,1986
CHEMBL5314377,1999
CHEMBL568,1965
CHEMBL628,1984
CHEMBL1168,1991
CHEMBL1200338,1989
CHEMBL1200413,1979
CHEMBL1200986,1986
CHEMBL1201550,1999
CHEMBL1201420,1982
CHEMBL2095222,2010
CHEMBL2105675,2011
CHEMBL2105708,2012
CHEMBL2108278,2016
CHEMBL2109137,1999
CHEMBL2364655,2015
CHEMBL3353410,2015
CHEMBL4113131,2024
CHEMBL12,1963
CHEMBL45,2007
CHEMBL111,2006
CHEMBL696,1960
CHEMBL969,1982
CHEMBL1693,1959
CHEMBL1700,1992
CHEMBL1200419,1974
CHEMBL1200848,1975
CHEMBL1201716,2005
CHEMBL1287853,2019
CHEMBL2107869,2013
CHEMBL2108147,1997
CHEMBL2218894,1993
CHEMBL3707247,2020
CHEMBL3707276,2021
CHEMBL3707330,2015
CHEMBL3989555,1957
CHEMBL4085457,2023
CHEMBL4297549,2011
CHEMBL4594214,2004
CHEMBL4650269,2023
CHEMBL5315123,2021
CHEMBL521,1974
CHEMBL688,1968
CHEMBL715,1996
CHEMBL34259,1953
CHEMBL1723,2003
CHEMBL576982,2023
CHEMBL1200409,1948
CHEMBL1200436,1964
CHEMBL1201117,1957
CHEMBL1201146,1973
CHEMBL1201190,2007
CHEMBL1201567,1991
CHEMBL1201467,2004
CHEMBL1201729,2009
CHEMBL1201773,2009
CHEMBL1237082,1956
CHEMBL1743068,2015
CHEMBL1929396,2012
CHEMBL3182733,1997
CHEMBL3545110,2017
CHEMBL3833307,2020
CHEMBL3989986,2018
CHEMBL4297750,2022
CHEMBL4559134,2020
CHEMBL4594584,2018
CHEMBL4802262,2020
CHEMBL5095475,2023
CHEMBL5314348,2000
CHEMBL5315050,2000
CHEMBL408,1997
CHEMBL409,1995
CHEMBL421,1950
CHEMBL128,1992
CHEMBL650,1957
CHEMBL711,1982
CHEMBL1303,2006
CHEMBL1451,1957
CHEMBL1522,2004
CHEMBL1633,1999
CHEMBL1720,2003
CHEMBL551466,2012
CHEMBL1200329,1996
CHEMBL1200420,1985
CHEMBL1200875,1970
CHEMBL1201438,1992
CHEMBL1201733,2009
CHEMBL1355736,1976
CHEMBL1615374,2011
CHEMBL2336071,2019
CHEMBL3545367,2020
CHEMBL3833329,2018
CHEMBL3989693,2005
CHEMBL4297873,2000
CHEMBL4297879,2015
CHEMBL5095303,2022
CHEMBL5095440,2024
CHEMBL802,1979
CHEMBL831,1975
CHEMBL917,1970
CHEMBL431770,2013
CHEMBL110458,2016
CHEMBL227529,2013
CHEMBL1676,2007
CHEMBL1096146,2021
CHEMBL1200681,1998
CHEMBL1200873,1952
CHEMBL1200977,1987
CHEMBL1201611,1999
CHEMBL1204187,2023
CHEMBL1206690,2002
CHEMBL1417019,1987
CHEMBL1889140,1996
CHEMBL2106217,1963
CHEMBL2107360,2009
CHEMBL3039526,2020
CHEMBL3545313,2020
CHEMBL3545368,2015
CHEMBL3716057,2023
CHEMBL3989677,1943
CHEMBL4297955,1982
CHEMBL4650226,2024
CHEMBL406,1983
CHEMBL79,1948
CHEMBL93,1996
CHEMBL134,1974
CHEMBL24778,2008
CHEMBL193482,2000
CHEMBL1513,1997
CHEMBL405110,2011
CHEMBL1200399,1986
CHEMBL1200870,1978
CHEMBL1201139,1971
CHEMBL2062266,1983
CHEMBL2107834,2013
CHEMBL2108702,2024
CHEMBL2109334,2020
CHEMBL3545191,2021
CHEMBL4279047,2024
CHEMBL4594217,2011
CHEMBL6067995,2020
CHEMBL701,1977
CHEMBL772,1960
CHEMBL877,1986
CHEMBL908,1967
CHEMBL1280,1981
CHEMBL1519,1996
CHEMBL1083993,1985
CHEMBL1200395,1959
CHEMBL1200472,1985
CHEMBL1200503,1978
CHEMBL1201057,1985
CHEMBL1201619,1993
CHEMBL1237023,2010
CHEMBL1276308,2000
CHEMBL2103736,1976
CHEMBL2103741,1982
CHEMBL2103883,2018
CHEMBL2108184,2012
CHEMBL2108581,2009
CHEMBL2108677,2014
CHEMBL2108738,2015
CHEMBL3545063,2015
CHEMBL4297844,2019
CHEMBL4594333,2021
CHEMBL4594511,2022
CHEMBL459,1962
CHEMBL71,1957
CHEMBL85,1993
CHEMBL92,1995
CHEMBL559,1967
CHEMBL750,2000
CHEMBL998,1993
CHEMBL514800,2014
CHEMBL1684,1959
CHEMBL1076903,2006
CHEMBL1200326,1988
CHEMBL1200795,1977
CHEMBL1200854,1972
CHEMBL1201657,1939
CHEMBL1201649,1942
CHEMBL1237132,2008
CHEMBL2105648,2023
CHEMBL2348780,2023
CHEMBL3039504,2014
CHEMBL3039596,1991
CHEMBL3989559,2000
CHEMBL4297610,2022
CHEMBL4301162,2021
CHEMBL15770,1978
CHEMBL832,1959
CHEMBL865,2001
CHEMBL898,1982
CHEMBL967,1981
CHEMBL1162,1962
CHEMBL1471,2003
CHEMBL398435,2010
CHEMBL1555,2001
CHEMBL1558,1976
CHEMBL515387,2016
CHEMBL571546,2020
CHEMBL1200467,1959
CHEMBL1200845,1974
CHEMBL1201103,1982
CHEMBL1201562,1996
CHEMBL1743010,2015
CHEMBL2048028,2016
CHEMBL2105704,2015
CHEMBL2364653,2021
CHEMBL3301611,2009
CHEMBL5315053,2016
CHEMBL5483015,2000
CHEMBL656,1950
CHEMBL783,2000
CHEMBL846,1978
CHEMBL1098,1972
CHEMBL343448,2009
CHEMBL1274,1996
CHEMBL220492,1996
CHEMBL1509,2001
CHEMBL1589,1964
CHEMBL1621,2006
CHEMBL1200556,1978
CHEMBL1200604,1960
CHEMBL1200799,2001
CHEMBL1201593,1996
CHEMBL1201832,2008
CHEMBL1628227,1969
CHEMBL2109540,2015
CHEMBL3544909,1980
CHEMBL3707313,2019
CHEMBL3833342,2016
CHEMBL3889654,2018
CHEMBL4650220,2023
CHEMBL5095401,2023
CHEMBL5314934,2024
CHEMBL20,1953
CHEMBL21536,2024
CHEMBL1428,1988
CHEMBL1200778,1995
CHEMBL1201063,1989
CHEMBL1201177,1985
CHEMBL1201748,2010
CHEMBL2103802,2012
CHEMBL2105711,2014
CHEMBL2105743,2014
CHEMBL2108427,1975
CHEMBL3039545,2019
CHEMBL3084748,2004
CHEMBL3646221,2023
CHEMBL3707229,2021
CHEMBL3786343,2016
CHEMBL4297723,2018
CHEMBL4594288,2019
CHEMBL5314341,1998
CHEMBL499,1978
CHEMBL779,2002
CHEMBL812,1955
CHEMBL91397,2001
CHEMBL1166,2000
CHEMBL142635,1999
CHEMBL1421,2006
CHEMBL225071,1996
CHEMBL395091,2019
CHEMBL589586,2020
CHEMBL1200794,1959
CHEMBL1200879,1954
CHEMBL1200974,1982
CHEMBL1201159,2006
CHEMBL1201759,2009
CHEMBL1615372,2010
CHEMBL2103827,2014
CHEMBL2105613,1983
CHEMBL2109204,2018
CHEMBL2216870,2014
CHEMBL3301589,2019
CHEMBL3545068,2017
CHEMBL3545432,2015
CHEMBL3989989,2018
CHEMBL4297762,2019
CHEMBL4297862,2019
CHEMBL4297951,2016
CHEMBL4298189,2022
CHEMBL6068400,2024
CHEMBL43452,2013
CHEMBL918,1951
CHEMBL1017,1998
CHEMBL313972,1992
CHEMBL117785,2008
CHEMBL1185,1997
CHEMBL198362,2008
CHEMBL521606,1979
CHEMBL1683,1982
CHEMBL1089221,1984
CHEMBL1200613,1976
CHEMBL1201027,1961
CHEMBL1201556,1997
CHEMBL1237065,1995
CHEMBL1257040,1959
CHEMBL2108709,2010
CHEMBL2147777,2012
CHEMBL3989562,1987
CHEMBL4594503,2023
CHEMBL4594505,2022
CHEMBL5095049,2022
CHEMBL710,1992
CHEMBL328190,2009
CHEMBL1184,1973
CHEMBL400599,1974
CHEMBL1694,1991
CHEMBL1200473,1974
CHEMBL1200804,1993
CHEMBL1201010,1955
CHEMBL1722209,1998
CHEMBL3707275,2018
CHEMBL4216467,2020
CHEMBL4297788,2022
CHEMBL10878,2009
CHEMBL285674,1990
CHEMBL848,2005
CHEMBL296419,1988
CHEMBL230158,2024
CHEMBL1501,1971
CHEMBL1503,1989
CHEMBL1551,1987
CHEMBL1718,1971
CHEMBL1084172,2013
CHEMBL1200343,1993
CHEMBL1200636,1977
CHEMBL1200775,1985
CHEMBL1200826,1970
CHEMBL1201119,1956
CHEMBL1237105,1979
CHEMBL1568698,2022
CHEMBL2106195,1999
CHEMBL2108253,1996
CHEMBL2108611,2017
CHEMBL2108681,2018
CHEMBL2108974,2002
CHEMBL3137343,2014
CHEMBL3188267,2020
CHEMBL4594581,2024
CHEMBL433,1996
CHEMBL35,1966
CHEMBL550,1974
CHEMBL122,1999
CHEMBL654,1996
CHEMBL697,1957
CHEMBL1544,1956
CHEMBL1678,1996
CHEMBL1200682,2002
CHEMBL1200853,1982
CHEMBL1201149,1984
CHEMBL1201777,2008
CHEMBL1201837,2009
CHEMBL1743070,2014
CHEMBL1795072,2004
CHEMBL2007641,2012
CHEMBL2107383,2010
CHEMBL2218861,2004
CHEMBL2448612,1948
CHEMBL3989977,2018
CHEMBL4298209,2020
CHEMBL17,1958
CHEMBL43,1987
CHEMBL112,1968
CHEMBL580,1977
CHEMBL1252,2003
CHEMBL1389,1982
CHEMBL1512,1981
CHEMBL471737,2005
CHEMBL557555,1985
CHEMBL1200386,1991
CHEMBL1200437,1950
CHEMBL1200751,1953
CHEMBL1200813,1984
CHEMBL1201129,2006
CHEMBL1441059,1982
CHEMBL2108354,2022
CHEMBL3039508,2017
CHEMBL3833393,2017
CHEMBL3989868,2020
CHEMBL4297240,2020
CHEMBL4298126,2013
CHEMBL4298171,2022
CHEMBL4650299,2023
CHEMBL407,1991
CHEMBL411,1973
CHEMBL979,1955
CHEMBL1138,2002
CHEMBL1172,2001
CHEMBL1370,1994
CHEMBL426084,2021
CHEMBL220491,1998
CHEMBL359744,1974
CHEMBL1200406,1972
CHEMBL1200822,1985
CHEMBL1200890,1950
CHEMBL1200927,1981
CHEMBL1201081,1959
CHEMBL1201101,1978
CHEMBL1237022,2005
CHEMBL1607273,1995
CHEMBL2105695,2017
CHEMBL2108334,1996
CHEMBL2360464,2004
CHEMBL5315119,2019
CHEMBL6068334,2022
CHEMBL118,1998
CHEMBL730,1981
CHEMBL856,1954
CHEMBL861,1946
CHEMBL1055,1960
CHEMBL1064,1991
CHEMBL1096,1996
CHEMBL1111,2007
CHEMBL95889,1996
CHEMBL1614,1982
CHEMBL1657,1997
CHEMBL1200601,1998
CHEMBL1200606,1985
CHEMBL1200686,2001
CHEMBL1200689,1999
CHEMBL1200969,2001
CHEMBL1200983,1991
CHEMBL1201032,1998
CHEMBL1237135,1980
CHEMBL1743049,2016
CHEMBL1767408,2010
CHEMBL2103875,2013
CHEMBL2108035,2010
CHEMBL3137320,2018
CHEMBL3707183,1962
CHEMBL3989844,1996
CHEMBL4297216,2019
CHEMBL4297220,2021
CHEMBL4297889,2023
CHEMBL5315075,2015
CHEMBL38,1971
CHEMBL12713,1996
CHEMBL1026,1997
CHEMBL1218,2005
CHEMBL1489,2004
CHEMBL1200912,1973
CHEMBL1201006,1973
CHEMBL1201466,1999
CHEMBL1201765,2007
CHEMBL1201770,2008
CHEMBL1229517,2011
CHEMBL1743029,2018
CHEMBL1743048,2013
CHEMBL2364649,2020
CHEMBL3137317,2015
CHEMBL3261331,2024
CHEMBL3545059,2007
CHEMBL3833368,2016
CHEMBL3989923,2017
CHEMBL3989939,2018
CHEMBL4208229,2021
CHEMBL5315126,1996
CHEMBL473,1999
CHEMBL535,2006
CHEMBL956,1985
CHEMBL1072,1983
CHEMBL1095,1957
CHEMBL1120,1996
CHEMBL1265,1996
CHEMBL175,1994
CHEMBL1467,1966
CHEMBL452231,1992
CHEMBL1200914,1997
