target_chembl_id,target_name,uniprot_acc,ensembl_id
CHEMBL243,Human immunodeficiency virus type 1 protease,Q72874,
CHEMBL2016,Coagulation factor IX,P00740,ENSG00000101981
CHEMBL244,Coagulation factor X,P00742,ENSG00000126218
CHEMBL2059,Lymphotoxin-alpha,P01374,ENSG00000230279
CHEMBL2040,T-cell surface antigen CD2,P06729,ENSG00000116824
CHEMBL1913,Platelet-derived growth factor receptor beta,P09619,ENSG00000113721
CHEMBL1959,Interleukin-1 receptor type 1,P14778,ENSG00000115594
CHEMBL1887,Interferon alpha/beta receptor 1,P17181,ENSG00000142166
CHEMBL1817,Erythropoietin receptor,P19235,ENSG00000187266
CHEMBL1912,CAMPATH-1 antigen,P31358,ENSG00000169442
CHEMBL2050,Interleukin-11 receptor subunit alpha,Q14626,ENSG00000137070
CHEMBL1996,Granulocyte colony-stimulating factor receptor,Q99062,ENSG00000119535
CHEMBL3000,Chymotrypsin-like elastase family member 1,Q9UNI1,ENSG00000139610
CHEMBL1818,IkappaB kinase complex-associated protein,O95163,ENSG00000070061
CHEMBL1814,Penicillin-binding protein 1B,P02919,
CHEMBL1820,Thymidine kinase,P06479,
CHEMBL1821,Muscarinic acetylcholine receptor M4,P08173,ENSG00000180720
CHEMBL2035,Muscarinic acetylcholine receptor M5,P08912,ENSG00000184984
CHEMBL1942,Alpha-2B adrenergic receptor,P18089,ENSG00000274286
CHEMBL1916,Alpha-2C adrenergic receptor,P18825,ENSG00000184160
CHEMBL245,Muscarinic acetylcholine receptor M3,P20309,ENSG00000133019
CHEMBL1850,D(1B) dopamine receptor,P21918,ENSG00000169676
CHEMBL1920,Gamma-aminobutyric acid receptor subunit beta-2,P47870,ENSG00000145864
CHEMBL1904,"Glutamate receptor ionotropic, NMDA 2B",Q13224,ENSG00000273079
CHEMBL2062,Ryanodine receptor 3,Q15413,ENSG00000198838
CHEMBL1930,Vitamin K epoxide reductase complex subunit 1,Q9BQB6,ENSG00000167397
CHEMBL246,Beta-3 adrenergic receptor,P13945,ENSG00000188778
CHEMBL1833,5-hydroxytryptamine receptor 2B,P41595,ENSG00000135914
CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase,Q72547,
CHEMBL1834,Immunoglobulin heavy constant epsilon,P01854,
CHEMBL2060,Lipoprotein lipase,P06858,ENSG00000175445
CHEMBL1975,T-cell surface glycoprotein CD3 epsilon chain,P07766,ENSG00000198851
CHEMBL1957,Insulin-like growth factor 1 receptor,P08069,ENSG00000140443
CHEMBL248,Neutrophil elastase,P08246,ENSG00000277571
CHEMBL1944,Neprilysin,P08473,ENSG00000196549
CHEMBL4618,Leukotriene A-4 hydrolase,P09960,ENSG00000111144
CHEMBL1936,Mast/stem cell growth factor receptor Kit,P10721,ENSG00000157404
CHEMBL2003,Retinoic acid receptor gamma,P13631,ENSG00000172819
CHEMBL1958,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,P14060,ENSG00000203857
CHEMBL1900,Aldo-keto reductase family 1 member B1,P15121,ENSG00000085662
CHEMBL1907,Aminopeptidase N,P15144,ENSG00000166825
CHEMBL1988,Atrial natriuretic peptide receptor 1,P16066,ENSG00000169418
CHEMBL1989,Dipeptidase 1,P16444,ENSG00000015413
CHEMBL2069,Thromboxane A2 receptor,P21731,ENSG00000006638
CHEMBL1785,Endothelin receptor type B,P24530,ENSG00000136160
CHEMBL1835,Thromboxane-A synthase,P24557,ENSG00000059377
CHEMBL252,Endothelin-1 receptor,P25101,ENSG00000151617
CHEMBL249,Substance-P receptor,P25103,ENSG00000115353
CHEMBL250,Platelet-activating factor receptor,P25105,ENSG00000169403
CHEMBL251,Adenosine receptor A2a,P29274,ENSG00000128271
CHEMBL1961,Chitin synthase 2,P30572,
CHEMBL3224,C-8 sterol isomerase ERG2,P32352,
CHEMBL253,Cannabinoid receptor 2,P34972,ENSG00000188822
CHEMBL1810,Thyrotropin-releasing hormone receptor,P34981,ENSG00000174417
CHEMBL1811,Prostaglandin E2 receptor EP1 subtype,P34995,ENSG00000160951
CHEMBL1836,Prostaglandin E2 receptor EP4 subtype,P35408,ENSG00000171522
CHEMBL1837,Trypanothione reductase,P39051,
CHEMBL1864,Thrombopoietin receptor,P40238,ENSG00000117400
CHEMBL2004,Retinoic acid receptor RXR-gamma,P48443,ENSG00000143171
CHEMBL1838,Chromaffin granule amine transporter,P54219,ENSG00000036565
CHEMBL2008,Retinoic acid receptor beta,P10826,ENSG00000077092
CHEMBL1947,Thyroid hormone receptor beta,P10828,ENSG00000151090
CHEMBL1869,Ornithine decarboxylase,P11926,ENSG00000115758
CHEMBL2061,Retinoic acid receptor RXR-alpha,P19793,ENSG00000186350
CHEMBL254,"3',5'-cyclic-AMP phosphodiesterase 4A",P27815,ENSG00000065989
CHEMBL1870,Retinoic acid receptor RXR-beta,P28702,ENSG00000206289
CHEMBL255,Adenosine receptor A2b,P29275,ENSG00000170425
CHEMBL1805,5-hydroxytryptamine receptor 1F,P30939,ENSG00000179097
CHEMBL256,Adenosine receptor A3,P0DMS8,ENSG00000282608
CHEMBL1878,Extracellular calcium-sensing receptor,P41180,ENSG00000036828
CHEMBL1911,"Succinate-semialdehyde dehydrogenase, mitochondrial",P51649,ENSG00000112294
CHEMBL1886,ATP-sensitive inward rectifier potassium channel 11,Q14654,ENSG00000187486
CHEMBL2063,Ceramide glucosyltransferase,Q16739,ENSG00000148154
CHEMBL1923,Histidine-rich protein PFHRP-II,P05227,
CHEMBL1934,26S proteasome regulatory subunit S1,Q99460,ENSG00000173692
CHEMBL1895,DNA topoisomerase 4 subunit A,P0AFI2,
CHEMBL1897,Squalene epoxidase ERG1,Q92206,
CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,P26358,ENSG00000130816
CHEMBL1992,DNA (cytosine-5)-methyltransferase 3A,Q9Y6K1,ENSG00000119772
CHEMBL2070,Tubulin alpha-4A chain,P68366,ENSG00000127824
CHEMBL2013,Dihydropteroate synthetase,Q25704,
CHEMBL2006,DNA-directed RNA polymerase subunit beta,P9WGY9,
CHEMBL2030,D-alanine--D-alanine ligase,P9WP31,
CHEMBL2031,Alanine racemase,P9WQA9,
CHEMBL2027,NPC1-like intracellular cholesterol transporter 1,Q9UHC9,ENSG00000015520
CHEMBL2037,"Beta-1,3-glucan synthase",O13383,
CHEMBL4712,Sphingomyelin phosphodiesterase 2,O60906,ENSG00000135587
CHEMBL2581,Cathepsin D,P07339,ENSG00000117984
CHEMBL4713,Carboxypeptidase N catalytic chain,P15169,ENSG00000120054
CHEMBL2134,Cyclin-dependent kinase 4,P30285,
CHEMBL2582,Cyclin-A2,P20248,ENSG00000145386
CHEMBL4329,Kappa-type opioid receptor,P33534,
CHEMBL5113,Orexin/Hypocretin receptor type 1,O43613,ENSG00000121764
CHEMBL2135,P2X purinoceptor 2,P49653,
CHEMBL5135,Potassium voltage-gated channel subfamily KQT member 1,O70344,
CHEMBL4714,P2Y purinoceptor 6,Q15077,ENSG00000171631
CHEMBL4715,"Phospholipase A2, major isoenzyme",P00592,
CHEMBL5136,Platelet-activating factor receptor,P21556,
CHEMBL4330,Cysteinyl leukotriene receptor 2,Q9NS75,ENSG00000152207
CHEMBL4716,"3',5'-cyclic-AMP phosphodiesterase 7B",Q9NP56,ENSG00000171408
CHEMBL2136,Gastricsin,P20142,ENSG00000096088
CHEMBL4763,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform,Q15172,ENSG00000066027
CHEMBL2583,5-hydroxytryptamine receptor 2B,Q02152,
CHEMBL4764,5-hydroxytryptamine receptor 7,P32304,
CHEMBL2584,Neuronal acetylcholine receptor subunit alpha-2,P12389,
CHEMBL2585,Neuronal acetylcholine receptor subunit alpha-9,P43144,
CHEMBL257,Type-2 angiotensin II receptor,P35351,
CHEMBL2026,Beta-lactamase,P00811,
CHEMBL4977,Transcription factor Jun,P05412,ENSG00000177606
CHEMBL4549,Apolipoprotein B-100,P04114,ENSG00000291544
CHEMBL3373,Beta-2 adrenergic receptor,Q28044,
CHEMBL3817,Bcl2-associated agonist of cell death,Q92934,ENSG00000002330
CHEMBL4114,Beta-lactamase,P00807,
CHEMBL3157,B2 bradykinin receptor,P30411,ENSG00000168398
CHEMBL2139,Insulin-like growth factor-binding protein 6,P24592,ENSG00000167779
CHEMBL2466,Interleukin-2,P04351,
CHEMBL2157,Interleukin-8,P10145,ENSG00000169429
CHEMBL2467,Thyrotropin-releasing hormone receptor,P21761,
CHEMBL3158,Isopenicillin N synthase,P08703,
CHEMBL3159,Trypsin-2,P07478,ENSG00000275896
CHEMBL3629,Casein kinase II subunit alpha,P68400,ENSG00000101266
CHEMBL3160,Thymidylate synthase,P07607,
CHEMBL2158,ADP-ribosyltransferase,P52961,ENSG00000129744
CHEMBL2159,Nucleoside diphosphate kinase A,P15531,ENSG00000239672
CHEMBL2160,Nucleoside diphosphate kinase B,P22392,ENSG00000243678
CHEMBL2468,Death-associated protein kinase 3,O43293,ENSG00000167657
CHEMBL3460,"HLA class II histocompatibility antigen, DR beta 3 chain",P79483,ENSG00000230463
CHEMBL2161,Glutathione S-transferase omega-2,Q9H4Y5,ENSG00000065621
CHEMBL2469,Uridine-cytidine kinase 2,Q9BZX2,ENSG00000143179
CHEMBL3142,DNA-dependent protein kinase catalytic subunit,P78527,ENSG00000253729
CHEMBL2470,Cannabinoid receptor 2,Q9QZN9,
CHEMBL3719,Melanocortin receptor 4,P56450,
CHEMBL3313,Vesicular acetylcholine transporter,P81721,
CHEMBL3423,Methionine aminopeptidase,P0AE18,
CHEMBL2442,Kallikrein-2,P20151,ENSG00000167751
CHEMBL2443,Kallikrein-7,P49862,ENSG00000169035
CHEMBL1796,Gastric triacylglycerol lipase,P07098,ENSG00000182333
CHEMBL4068,Chymase,P23946,ENSG00000092009
CHEMBL2626,Dipeptidase 1,P22412,
CHEMBL2163,Vitamin D-binding protein,P04276,
CHEMBL2446,Corticotropin-releasing factor receptor 1,P35347,
CHEMBL3583,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,Q99943,ENSG00000226467
CHEMBL3314,Chymotrypsinogen A,P00766,
CHEMBL2164,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,P62136,ENSG00000172531
CHEMBL2165,Cyclin-H,P51946,ENSG00000134480
CHEMBL2574,D(4) dopamine receptor,P51436,
CHEMBL2447,Deoxycytidine kinase,P27707,ENSG00000156136
CHEMBL2448,Probable deoxycytidylate deaminase,P30648,
CHEMBL4647,"Peptide deformylase, mitochondrial",Q9HBH1,ENSG00000258429
CHEMBL2465,Dihydropyrimidinase,Q14117,ENSG00000147647
CHEMBL2167,GTPase HRas,P01112,ENSG00000276536
CHEMBL2329,Dihydrofolate reductase,P22906,
CHEMBL2575,Dihydrofolate reductase,P00378,
CHEMBL2576,Dihydrofolate reductase,P07807,
CHEMBL2940,Low affinity immunoglobulin epsilon Fc receptor,P06734,ENSG00000104921
CHEMBL2120,Fibroblast growth factor 1,P05230,ENSG00000113578
CHEMBL4550,Arachidonate 5-lipoxygenase-activating protein,P20292,ENSG00000132965
CHEMBL2121,Folate receptor alpha,P15328,ENSG00000110195
CHEMBL4137,"Glyceraldehyde-3-phosphate dehydrogenase, cytosolic",Q01558,
CHEMBL4769,Geranylgeranyl pyrophosphate synthase,O95749,ENSG00000152904
CHEMBL2578,Scytalone dehydratase,P56221,
CHEMBL4830,Growth factor receptor-bound protein 2,Q60631,
CHEMBL2978,Somatostatin receptor type 2,P30680,
CHEMBL4886,Sulfotransferase 1A1,P17988,
CHEMBL2882,Histamine H2 receptor,P47747,
CHEMBL4831,Sulfotransferase 1E1,P52844,
CHEMBL4832,Transcription initiation factor IIA subunit 1,P52655,ENSG00000165417
CHEMBL4609,Protein Tat,P04326,
CHEMBL3961,Mitogen-activated protein kinase 11,Q15759,ENSG00000185386
CHEMBL4551,Trypsin-3,P35030,ENSG00000010438
CHEMBL2076,Cellular retinol-binding protein,P09455,ENSG00000114115
CHEMBL4833,Reduced folate transporter,P41440,ENSG00000173638
CHEMBL2077,Sulfotransferase 2A1,Q06520,ENSG00000105398
CHEMBL2883,"Thymidine kinase, cytosolic",P04183,ENSG00000167900
CHEMBL4834,Cytosolic phospholipase A2 gamma,Q9UP65,ENSG00000105499
CHEMBL2334,Caspase-3,P42574,ENSG00000164305
CHEMBL2079,Cellular retinoic acid-binding protein 1,P29762,ENSG00000166426
CHEMBL3429,Steroid hormone receptor ERR1,P11474,ENSG00000173153
CHEMBL3514,Platelet-activating factor acetylhydrolase,Q13093,ENSG00000146070
CHEMBL2885,Carbonic anhydrase 3,P07451,ENSG00000164879
CHEMBL258,Tyrosine-protein kinase Lck,P06239,ENSG00000182866
CHEMBL4835,L-lactate dehydrogenase A chain,P00338,ENSG00000134333
CHEMBL259,Melanocortin receptor 4,P32245,ENSG00000166603
CHEMBL4877,Neuropeptide Y receptor type 4,P50391,ENSG00000204174
CHEMBL3898,Bone morphogenetic protein 1,P13497,ENSG00000168487
CHEMBL4923,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4,Q9Y237,ENSG00000102309
CHEMBL4878,Cytochrome P450 1B1,Q16678,ENSG00000138061
CHEMBL4879,"Fatty acid-binding protein, intestinal",P12104,ENSG00000145384
CHEMBL3855,UDP-3-O-acyl-N-acetylglucosamine deacetylase,P47205,
CHEMBL2360,Hypoxanthine-guanine phosphoribosyltransferase,P00492,ENSG00000165704
CHEMBL4872,Potassium voltage-gated channel subfamily E member 1,P15382,ENSG00000180509
CHEMBL2886,Phosphoglycerate kinase 1,P00558,ENSG00000102144
CHEMBL4880,Triosephosphate isomerase,P60174,ENSG00000111669
CHEMBL3167,Serum paraoxonase/arylesterase 1,P27169,ENSG00000005421
CHEMBL2887,Hemoglobin subunit alpha,P69905,ENSG00000188536
CHEMBL2081,Glutathione S-transferase Mu 1,P09488,ENSG00000134184
CHEMBL4116,Alcohol dehydrogenase class-3,P11766,ENSG00000197894
CHEMBL4881,"Aldehyde dehydrogenase X, mitochondrial",P30837,ENSG00000137124
