ensembl_id,efo_id_norm,target_name,disease_name,phase,label
ENSG00000005961,EFO_0003913,ITGA2B,angina pectoris,4,1
ENSG00000005961,EFO_0004277,ITGA2B,brain infarction,2,0
ENSG00000005961,EFO_0005672,ITGA2B,acute coronary syndrome,4,1
ENSG00000005961,EFO_0006834,ITGA2B,septic shock,2,0
ENSG00000005961,EFO_1000985,ITGA2B,intermediate coronary syndrome,4,1
ENSG00000005961,HP_0004419,ITGA2B,Recurrent thrombophlebitis,4,1
ENSG00000005961,MONDO_0011382,ITGA2B,sickle cell disease,1,0
ENSG00000006071,EFO_0000400,ABCC8,diabetes mellitus,4,1
ENSG00000006071,EFO_0000474,ABCC8,epilepsy,1,0
ENSG00000006071,EFO_0000574,ABCC8,lymphoma,1,0
ENSG00000006071,EFO_0003913,ABCC8,angina pectoris,1,0
ENSG00000006071,EFO_0600064,ABCC8,serum lipopolysaccharide activity,1,0
ENSG00000006071,HP_0002140,ABCC8,Ischemic stroke,2,0
ENSG00000006071,HP_0012532,ABCC8,Chronic pain,1,0
ENSG00000006071,MONDO_0000831,ABCC8,thrombotic disease,2,0
ENSG00000006071,MONDO_0004992,ABCC8,cancer,1,0
ENSG00000006071,MONDO_0005148,ABCC8,type 2 diabetes mellitus,4,1
ENSG00000006071,MONDO_0005180,ABCC8,Parkinson disease,1,0
ENSG00000006071,MONDO_0008315,ABCC8,prostate cancer,1,0
ENSG00000006071,MONDO_0011382,ABCC8,sickle cell disease,1,0
ENSG00000006071,MONDO_0011719,ABCC8,gastrointestinal stromal tumor,1,0
ENSG00000006071,MONDO_0043510,ABCC8,brain injury,2,0
ENSG00000006071,MONDO_0043797,ABCC8,spinal cord injury,1,0
ENSG00000006116,EFO_0000319,CACNG3,cardiovascular disease,4,1
ENSG00000006116,EFO_0000341,CACNG3,chronic obstructive pulmonary disease,4,1
ENSG00000006116,EFO_0000474,CACNG3,epilepsy,4,1
ENSG00000006116,EFO_0000555,CACNG3,irritable bowel syndrome,2,0
