efo_id_norm,ot_therapeutic_area,ot_ta_raw
MONDO_0002120,CVRM,endocrine system disease|cancer or benign tumor
MONDO_0002367,Oncology,urinary system disease|cancer or benign tumor
MONDO_0015459,Respiratory,infectious disease|gastrointestinal disease|respiratory or thoracic disease|cancer or benign tumor
MONDO_0016700,Oncology,cancer or benign tumor|nervous system disease
MONDO_0019438,CVRM,nervous system disease|nutritional or metabolic disease|cardiovascular disease|musculoskeletal or connective tissue disease
MONDO_0020547,Immunology,"immune system disease|injury, poisoning or other complication"
MONDO_0044881,Oncology,hematologic disease|cancer or benign tumor
EFO_0000508,Rare Disease,"genetic, familial or congenital disease"
EFO_1001938,Immunology,"hematologic disease|immune system disease|genetic, familial or congenital disease|cancer or benign tumor"
MONDO_0004736,Rare Disease,"nutritional or metabolic disease|genetic, familial or congenital disease"
MONDO_0010311,Rare Disease,"nervous system disease|genetic, familial or congenital disease|musculoskeletal or connective tissue disease|phenotype"
MONDO_0016239,Rare Disease,"genetic, familial or congenital disease|nutritional or metabolic disease"
MONDO_0018965,Rare Disease,"urinary system disease|genetic, familial or congenital disease"
MONDO_0019172,Other,disorder of visual system|phenotype
MONDO_0019249,Rare Disease,"genetic, familial or congenital disease|nutritional or metabolic disease"
MONDO_0020121,Rare Disease,"nervous system disease|genetic, familial or congenital disease|musculoskeletal or connective tissue disease|phenotype"
MONDO_0100135,Rare Disease,"nervous system disease|genetic, familial or congenital disease"
MONDO_0004670,Immunology,immune system disease|musculoskeletal or connective tissue disease
EFO_1001249,CVRM,endocrine system disease|gastrointestinal disease
HP_0001399,Other,phenotype
MONDO_0018105,Rare Disease,"genetic, familial or congenital disease"
EFO_0000544,Other,biological_process
EFO_0002913,Oncology,"integumentary system disease|cancer or benign tumor|hematologic disease|genetic, familial or congenital disease"
EFO_1001494,Immunology,"immune system disease|integumentary system disease|genetic, familial or congenital disease"
EFO_0000096,Immunology,"hematologic disease|immune system disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_0000638,Other,measurement
EFO_0000729,Immunology,"gastrointestinal disease|immune system disease|genetic, familial or congenital disease"
EFO_0001060,Rare Disease,"gastrointestinal disease|genetic, familial or congenital disease|immune system disease"
EFO_0004212,Other,integumentary system disease
EFO_0004256,Immunology,nervous system disease|disorder of visual system|immune system disease
EFO_0004719,Immunology,immune system disease|integumentary system disease
EFO_0005531,Other,integumentary system disease
EFO_0005741,Other,infectious disease
EFO_0005809,Immunology,immune system disease
EFO_0007359,Immunology,"hematologic disease|immune system disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_1000560,Immunology,"hematologic disease|immune system disease|cancer or benign tumor|genetic, familial or congenital disease"
EFO_1001890,Immunology,immune system disease
EFO_1002028,Rare Disease,"integumentary system disease|genetic, familial or congenital disease"
MONDO_0002083,Oncology,cancer or benign tumor
MONDO_0003864,Immunology,"hematologic disease|immune system disease|genetic, familial or congenital disease|cancer or benign tumor"
MONDO_0005178,Other,musculoskeletal or connective tissue disease|phenotype
MONDO_0007576,Oncology,gastrointestinal disease|cancer or benign tumor
MONDO_0008170,CVRM,endocrine system disease|reproductive system or breast disease|cancer or benign tumor
MONDO_0009348,Rare Disease,"hematologic disease|genetic, familial or congenital disease|infectious disease|cancer or benign tumor"
MONDO_0015564,Immunology,"immune system disease|genetic, familial or congenital disease"
MONDO_0017287,Immunology,immune system disease
MONDO_0044212,Other,integumentary system disease
MONDO_0100053,Immunology,immune system disease
EFO_0000272,Oncology,nervous system disease|cancer or benign tumor
EFO_0000632,Oncology,nervous system disease|cancer or benign tumor
DOID_10113,Other,infectious disease
EFO_0000400,CVRM,endocrine system disease|nutritional or metabolic disease|phenotype
EFO_0001064,Rare Disease,"genetic, familial or congenital disease"
EFO_0001065,Other,reproductive system or breast disease
EFO_0001358,Other,psychiatric disorder|nervous system disease
EFO_0003015,Other,biological_process|phenotype
EFO_0003103,Other,infectious disease|urinary system disease
EFO_0003854,Rare Disease,"musculoskeletal or connective tissue disease|genetic, familial or congenital disease|phenotype"
EFO_0003855,Oncology,gastrointestinal disease|cancer or benign tumor
EFO_0004239,CVRM,infectious disease|gastrointestinal disease|endocrine system disease
EFO_0004262,Other,psychiatric disorder|nervous system disease
EFO_0004273,Other,musculoskeletal or connective tissue disease
EFO_0004698,Other,psychiatric disorder|nervous system disease
EFO_0004826,Immunology,immune system disease
EFO_0005411,Other,psychiatric disorder|nervous system disease
EFO_0006788,Other,psychiatric disorder|nervous system disease
EFO_0007157,Other,infectious disease
EFO_0007453,Other,pregnancy or perinatal disease|psychiatric disorder|nervous system disease
EFO_0007462,Other,psychiatric disorder|nervous system disease
EFO_0008583,CVRM,cardiovascular disease
EFO_0009692,Respiratory,respiratory or thoracic disease
EFO_0009708,Other,biological_process
EFO_0009878,Other,biological_process
EFO_1001146,Other,nervous system disease
EFO_1001210,Rare Disease,"genetic, familial or congenital disease|nervous system disease"
EFO_1001413,Respiratory,infectious disease|respiratory or thoracic disease
EFO_1001454,Other,psychiatric disorder|nervous system disease
EFO_1001496,Rare Disease,"urinary system disease|genetic, familial or congenital disease"
EFO_1001892,Other,psychiatric disorder|nervous system disease
EFO_1001949,Oncology,gastrointestinal disease|cancer or benign tumor
HP_0000023,Other,phenotype
HP_0000360,Other,phenotype
HP_0000486,Other,phenotype
HP_0011868,Other,phenotype
HP_0012076,Other,psychiatric disorder|phenotype
HP_0030833,Other,phenotype
HP_0031273,Other,phenotype
MONDO_0001039,Immunology,gastrointestinal disease|immune system disease|respiratory or thoracic disease
MONDO_0001780,Other,psychiatric disorder|phenotype
MONDO_0002492,Other,urinary system disease|phenotype
MONDO_0003406,Other,psychiatric disorder|nervous system disease
MONDO_0005129,Rare Disease,"genetic, familial or congenital disease|disorder of visual system|phenotype"
MONDO_0005148,CVRM,endocrine system disease|nutritional or metabolic disease|phenotype
MONDO_0007079,Other,psychiatric disorder|nervous system disease
MONDO_0007606,Rare Disease,"genetic, familial or congenital disease|integumentary system disease|musculoskeletal or connective tissue disease"
MONDO_0009061,Respiratory,"respiratory or thoracic disease|genetic, familial or congenital disease"
MONDO_0010382,Rare Disease,"genetic, familial or congenital disease|nervous system disease"
MONDO_0010383,Rare Disease,"genetic, familial or congenital disease"
MONDO_0018076,Other,infectious disease
MONDO_0019079,Rare Disease,"nervous system disease|phenotype|genetic, familial or congenital disease"
MONDO_0021698,Other,psychiatric disorder
MP_0001845,Other,phenotype
EFO_0000094,Immunology,"hematologic disease|immune system disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_1000956,Immunology,"hematologic disease|immune system disease|genetic, familial or congenital disease|cancer or benign tumor"
MONDO_0000870,Oncology,"hematologic disease|cancer or benign tumor|genetic, familial or congenital disease"
EFO_0000246,Other,measurement
EFO_0000401,Other,nutritional or metabolic disease|urinary system disease
EFO_0004228,CVRM,endocrine system disease|gastrointestinal disease
EFO_0005240,Rare Disease,"nervous system disease|genetic, familial or congenital disease|disorder of visual system"
EFO_1001068,CVRM,endocrine system disease|gastrointestinal disease|phenotype
HP_0001258,Other,nervous system disease|phenotype
HP_0001952,Other,phenotype
MONDO_0007739,Rare Disease,"nervous system disease|genetic, familial or congenital disease"
MONDO_0020088,Rare Disease,"genetic, familial or congenital disease|nutritional or metabolic disease|integumentary system disease|phenotype"
EFO_0003894,Rare Disease,"integumentary system disease|genetic, familial or congenital disease"
EFO_0003914,CVRM,cardiovascular disease
EFO_0004149,Other,nervous system disease
EFO_0004232,Other,gastrointestinal disease|phenotype
EFO_0004268,CVRM,endocrine system disease|gastrointestinal disease|phenotype
EFO_0005406,Oncology,gastrointestinal disease|cancer or benign tumor
HP_0002253,Other,phenotype
MONDO_0004565,Other,gastrointestinal disease
EFO_0000398,Immunology,integumentary system disease|musculoskeletal or connective tissue disease|urinary system disease|immune system disease|nervous system disease|phenotype
EFO_1000637,Respiratory,respiratory or thoracic disease
EFO_0000211,Rare Disease,"hematologic disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_0000621,Oncology,nervous system disease|cancer or benign tumor
EFO_0000691,Oncology,cancer or benign tumor
EFO_0000717,Respiratory,"respiratory or thoracic disease|urinary system disease|integumentary system disease|immune system disease|musculoskeletal or connective tissue disease|disorder of visual system|genetic, familial or congenital disease|phenotype"
EFO_0004251,Rare Disease,"hematologic disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_0006861,Oncology,integumentary system disease|reproductive system or breast disease|cancer or benign tumor
EFO_1000044,Oncology,gastrointestinal disease|cancer or benign tumor|endocrine system disease
EFO_1000157,Immunology,"immune system disease|nervous system disease|infectious disease|hematologic disease|cancer or benign tumor|genetic, familial or congenital disease"
EFO_1000613,Oncology,reproductive system or breast disease|cancer or benign tumor
EFO_1000823,Other,nervous system disease|phenotype
EFO_1001779,Immunology,"hematologic disease|immune system disease|cancer or benign tumor|genetic, familial or congenital disease|musculoskeletal or connective tissue disease"
HP_0100727,Other,phenotype
MONDO_0002691,CVRM,gastrointestinal disease|endocrine system disease|cancer or benign tumor
MONDO_0004192,Oncology,urinary system disease|cancer or benign tumor
