efo_id,efo_term,max_phase_for_ind,molecule_chembl_id
EFO:0000195,metabolic syndrome,2.0,CHEMBL672
EFO:0003843,pain,4.0,CHEMBL688
EFO:0003843,pain,4.0,CHEMBL596
EFO:0003060,non-small cell lung carcinoma,2.0,CHEMBL710
EFO:0001663,prostate carcinoma,4.0,CHEMBL710
EFO:0004698,insomnia,1.0,CHEMBL407
EFO:0000365,colorectal adenocarcinoma,3.0,CHEMBL185
EFO:0005752,eye inflammation,4.0,CHEMBL563
EFO:0000341,chronic obstructive pulmonary disease,4.0,CHEMBL1473
EFO:0004232,eosinophilic esophagitis,3.0,CHEMBL1473
EFO:0004286,venous thromboembolism,3.0,CHEMBL1200644
HP:0004936,Venous thrombosis,4.0,CHEMBL1200644
EFO:0000305,breast carcinoma,4.0,CHEMBL1358
EFO:0000373,congestive heart failure,4.0,CHEMBL35
EFO:0003818,lung disease,3.0,CHEMBL35
EFO:0003827,pulmonary embolism,3.0,CHEMBL35
EFO:0004698,insomnia,3.0,CHEMBL940
EFO:0003843,pain,3.0,CHEMBL940
EFO:0004270,restless legs syndrome,4.0,CHEMBL1628502
EFO:0003060,non-small cell lung carcinoma,4.0,CHEMBL939
EFO:0004284,upper aerodigestive tract neoplasm,3.0,CHEMBL939
EFO:0000616,neoplasm,3.0,CHEMBL1637
EFO:0003060,non-small cell lung carcinoma,4.0,CHEMBL1637
EFO:0002618,pancreatic carcinoma,4.0,CHEMBL1637
EFO:0000400,diabetes mellitus,4.0,CHEMBL1073
EFO:0000341,chronic obstructive pulmonary disease,4.0,CHEMBL1201027
EFO:0000545,infertility,3.0,CHEMBL1200511
EFO:0000305,breast carcinoma,4.0,CHEMBL1200501
EFO:0001663,prostate carcinoma,3.0,CHEMBL1200501
EFO:0006911,Chemotherapy-induced nausea and vomiting,4.0,CHEMBL289469
EFO:0003888,attention deficit hyperactivity disorder,4.0,CHEMBL1200494
EFO:0005407,psychosis,4.0,CHEMBL54
EFO:0000545,infertility,4.0,CHEMBL5315126
EFO:0000565,leukemia,3.0,CHEMBL1201438
EFO:0002617,metastatic melanoma,4.0,CHEMBL1201438
EFO:0000537,hypertension,4.0,CHEMBL435
EFO:0003843,pain,4.0,CHEMBL3989677
EFO:0000319,cardiovascular disease,4.0,CHEMBL1763
EFO:0003917,premature birth,4.0,CHEMBL1200848
EFO:0000565,leukemia,3.0,CHEMBL467
EFO:0000756,melanoma,4.0,CHEMBL467
EFO:0001421,liver disease,1.0,CHEMBL1873475
EFO:0000616,neoplasm,4.0,CHEMBL1873475
HP:0001945,Fever,4.0,CHEMBL521
HP:0003326,Myalgia,4.0,CHEMBL521
EFO:0003843,pain,4.0,CHEMBL521
EFO:0001361,pulmonary arterial hypertension,4.0,CHEMBL494
EFO:0000339,chronic myelogenous leukemia,4.0,CHEMBL1642
EFO:0000658,plexiform neurofibroma,2.0,CHEMBL1642
EFO:0002429,polycythemia vera,2.0,CHEMBL1642
EFO:0001361,pulmonary arterial hypertension,3.0,CHEMBL1642
EFO:0002496,actinic keratosis,4.0,CHEMBL1282
EFO:0004193,basal cell carcinoma,4.0,CHEMBL1282
EFO:0003843,pain,2.0,CHEMBL2108035
EFO:0000341,chronic obstructive pulmonary disease,4.0,CHEMBL1789842
EFO:0000537,hypertension,4.0,CHEMBL406
EFO:0000278,pancreatitis,3.0,CHEMBL6
EFO:0003917,premature birth,3.0,CHEMBL6
EFO:0003898,ankylosing spondylitis,4.0,CHEMBL1201581
EFO:0000384,Crohn's disease,4.0,CHEMBL1201581
EFO:0001065,endometriosis,2.0,CHEMBL1201581
EFO:0000676,psoriasis,4.0,CHEMBL1201581
EFO:0000685,rheumatoid arthritis,4.0,CHEMBL1201581
EFO:0000729,ulcerative colitis,4.0,CHEMBL1201581
EFO:0000400,diabetes mellitus,4.0,CHEMBL1201631
HP:0003074,Hyperglycemia,3.0,CHEMBL1201631
EFO:0003047,hepatitis C virus infection,3.0,CHEMBL1201558
EFO:0000616,neoplasm,4.0,CHEMBL1201558
EFO:0000313,carcinoma,2.0,CHEMBL1789844
EFO:0000756,melanoma,4.0,CHEMBL1789844
EFO:0001663,prostate carcinoma,2.0,CHEMBL1789844
EFO:0000341,chronic obstructive pulmonary disease,4.0,CHEMBL2134724
EFO:0000275,atrial fibrillation,3.0,CHEMBL1513
EFO:0000537,hypertension,4.0,CHEMBL1513
EFO:0000305,breast carcinoma,4.0,CHEMBL1201752
HP:0003326,Myalgia,4.0,CHEMBL571
EFO:0003843,pain,4.0,CHEMBL1201124
EFO:0000474,epilepsy,4.0,CHEMBL741
Orphanet:79292,Fish-eye disease,1.0,CHEMBL741
EFO:0003948,gastroesophageal reflux disease,4.0,CHEMBL480
EFO:0000305,breast carcinoma,4.0,CHEMBL1201179
EFO:0002617,metastatic melanoma,1.0,CHEMBL2105704
EFO:0000305,breast carcinoma,4.0,CHEMBL1444
EFO:0000545,infertility,3.0,CHEMBL1444
EFO:0001663,prostate carcinoma,4.0,CHEMBL1200775
Orphanet:79292,Fish-eye disease,1.0,CHEMBL1201190
EFO:0003956,seasonal allergic rhinitis,4.0,CHEMBL1201190
EFO:0004705,hypothyroidism,4.0,CHEMBL2103741
EFO:0004616,"osteoarthritis, knee",3.0,CHEMBL79
EFO:0003843,pain,4.0,CHEMBL79
EFO:0003100,peripheral neuropathy,3.0,CHEMBL79
EFO:0000555,irritable bowel syndrome,4.0,CHEMBL3301675
EFO:0002546,abnormal glucose tolerance,3.0,CHEMBL4084119
EFO:0000400,diabetes mellitus,4.0,CHEMBL4084119
EFO:0003888,attention deficit hyperactivity disorder,4.0,CHEMBL1201178
EFO:0000537,hypertension,4.0,CHEMBL419213
EFO:0005230,anxiety,4.0,CHEMBL580
EFO:0001073,obesity,2.0,CHEMBL2095211
EFO:0000537,hypertension,4.0,CHEMBL995
EFO:0000341,chronic obstructive pulmonary disease,2.0,CHEMBL503
EFO:0000555,irritable bowel syndrome,4.0,CHEMBL1201134
EFO:0001361,pulmonary arterial hypertension,4.0,CHEMBL2103873
EFO:0000764,HIV infection,4.0,CHEMBL256907
EFO:0000180,HIV-1 infection,4.0,CHEMBL256907
EFO:0000341,chronic obstructive pulmonary disease,2.0,CHEMBL1201139
EFO:0000545,infertility,3.0,CHEMBL2108427
EFO:0000384,Crohn's disease,3.0,CHEMBL1200751
EFO:0003872,colitis,2.0,CHEMBL704
EFO:0000384,Crohn's disease,3.0,CHEMBL704
EFO:0005628,proctitis,4.0,CHEMBL704
EFO:0000729,ulcerative colitis,4.0,CHEMBL704
EFO:0000400,diabetes mellitus,4.0,CHEMBL1703
EFO:0001073,obesity,2.0,CHEMBL1703
EFO:0000384,Crohn's disease,3.0,CHEMBL34259
EFO:0000685,rheumatoid arthritis,4.0,CHEMBL34259
EFO:0000729,ulcerative colitis,2.0,CHEMBL34259
HP:0002019,Constipation,4.0,CHEMBL1201770
EFO:0003888,attention deficit hyperactivity disorder,4.0,CHEMBL796
EFO:0003888,attention deficit hyperactivity disorder,4.0,CHEMBL1722
EFO:0003929,relapsing-remitting multiple sclerosis,3.0,CHEMBL650
EFO:0000537,hypertension,4.0,CHEMBL2356097
EFO:0002610,cocaine dependence,2.0,CHEMBL1276308
EFO:0005687,fibromyalgia,4.0,CHEMBL4297064
EFO:0004191,androgenetic alopecia,4.0,CHEMBL802
EFO:0003144,heart failure,2.0,CHEMBL2095212
MP:0001914,hemorrhage,4.0,CHEMBL606
EFO:0003888,attention deficit hyperactivity disorder,4.0,CHEMBL1373
EFO:0002610,cocaine dependence,3.0,CHEMBL1373
EFO:0004701,methamphetamine dependence,2.0,CHEMBL1373
EFO:0005854,allergic rhinitis,4.0,CHEMBL1161
EFO:0002460,hypertrophy,3.0,CHEMBL1161
HP:0006536,Airway obstruction,4.0,CHEMBL1161
EFO:0003956,seasonal allergic rhinitis,4.0,CHEMBL1161
EFO:0004232,eosinophilic esophagitis,1.0,CHEMBL1200681
EFO:0005799,neonatal abstinence syndrome,2.0,CHEMBL2103744
EFO:0003843,pain,4.0,CHEMBL2103744
EFO:0005611,opioid dependence,1.0,CHEMBL1718
EFO:0004699,gambling behaviour,3.0,CHEMBL19019
EFO:0005611,opioid dependence,3.0,CHEMBL19019
EFO:0003843,pain,4.0,CHEMBL154
EFO:0003843,pain,4.0,CHEMBL1200806
EFO:0000685,rheumatoid arthritis,4.0,CHEMBL1200806
EFO:0003929,relapsing-remitting multiple sclerosis,4.0,CHEMBL1201607
EFO:0000537,hypertension,4.0,CHEMBL1200326
EFO:0003768,nicotine dependence,3.0,CHEMBL1201536
EFO:0003768,nicotine dependence,4.0,CHEMBL3
EFO:0004319,smoking cessation,3.0,CHEMBL3
EFO:0003917,premature birth,3.0,CHEMBL193
EFO:0000545,infertility,2.0,CHEMBL1428
EFO:0000373,congestive heart failure,2.0,CHEMBL1200689
EFO:0005046,cutaneous Leishmaniasis,3.0,CHEMBL1200689
EFO:0003843,pain,4.0,CHEMBL730
EFO:0000712,stroke,3.0,CHEMBL730
EFO:0000537,hypertension,3.0,CHEMBL136478
EFO:0000095,chronic lymphocytic leukemia,4.0,CHEMBL1743048
EFO:0000712,stroke,2.0,CHEMBL2095222
EFO:0003770,diabetic retinopathy,3.0,CHEMBL1200480
EFO:0000095,chronic lymphocytic leukemia,4.0,CHEMBL1201836
EFO:0000574,lymphoma,2.0,CHEMBL1201836
EFO:0005203,eating disorder,3.0,CHEMBL715
EFO:0000537,hypertension,4.0,CHEMBL1200692
